Commodity,Place
Tallow,Argentina
Tallow,melbourne australia
Tallow,New South Wales
Tallow,Queensland
Tallow,New Zealand
Castor Oil,Belgium
Castor Oil,France
Castor Oil,Chennai
Castor Oil,"Kolkata, India"
Animal Oil,United States
Sperm/Headmatter,Norway
Sperm/Headmatter,"New Bedford, United States"
Train/Whale  Oil,Norway
Train/Whale  Oil,Denmark
Train/Whale  Oil,Germany
Train/Whale  Oil,Japan
Train/Whale  Oil,"New Bedford, United States"
Train/Whale  Oil,"60,-28"
Train/Whale  Oil,Canada
Train/Whale  Oil,"Newfoundland, Canada"
Oil Kernels/Nuts,Philippines
Oil Kernels/Nuts,Cook Islands
Oil Kernels/Nuts,Sierra Leone
Oil Kernels/Nuts,Ghana
Oil Kernels/Nuts,Lagos
Oil Kernels/Nuts,Nigeria
Oil Kernels/Nuts,Chennai
Oil Kernels/Nuts,Singapore
Oil Kernels/Nuts,Sri Lanka
Oil Kernels/Nuts,New South Wales
Oil Kernels/Nuts,New Zealand
Cottonseeds,Egypt
Lard,Chicago
Lard,Toronto
Flax Seeds,Moscow
Flax Seeds,Argentina
Flax Seeds,Kolkata 
Flax Seeds,"Mumbai, Maharashtra"
Rape Seeds,Port of Odessa